hex,flight,reg,type_code,report_type,version,verdict,nac_p,nac_v,nic,sda,sil,failed_paragraphs,emergency,continuity,track_end,altitude,category,altitude_band,unstable,polls_seen,rule_airspace,year_mfr,build_cert
AC-689F47,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,15,91.225(d)(4),2024,Type certificated
AC-E62440,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 36 s without a refresh, then reacquired (threshold 20 s)",,,A3,FL180 and above,,116,91.225(d)(1),2025,Type certificated
AC-9AFDAF,,,A319,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 51 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 3 snapshot(s), 60 s between sightings",,,A3,"10,000 ft to FL180",,91,91.225(d)(1),2001,Type certificated
AC-773E18,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 56 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 1 snapshot(s), 30 s between sightings; dropout: absent from 5 snapshot(s), 90 s between sightings; dropout: absent from 19 snapshot(s), 300 s between sightings",,,A3,"10,000 ft to FL180",sil alternated between 2 and 3 (6 changes),71,91.225(d)(1),2014,Type certificated
AC-DC76B2,,,GLF6,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,36,91.225(d)(4),2016,Type certificated
AC-773E43,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,163,91.225(d)(4),2006,Type certificated
AC-F21DA3,,,,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 28 s without a refresh, then reacquired (threshold 20 s)",,,A3,"Below 10,000 ft",,41,91.225(d)(2),2012,Type certificated
AC-05C395,,,,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,97,91.225(d)(4),,Type certificated
AC-795545,,,B738,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,FL180 and above,,62,91.225(d)(1),2005,Type certificated
AC-3D34C3,,,C172,adsb_icao,2,pass,10,2,9,2,3,,,,last position 33 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",,240,no,2025,Type certificated
AC-8FBE63,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,42,91.225(d)(4),2025,Type certificated
