hex,flight,reg,type_code,report_type,version,verdict,nac_p,nac_v,nic,sda,sil,failed_paragraphs,emergency,continuity,track_end,altitude,category,altitude_band,unstable,polls_seen,rule_airspace,year_mfr,build_cert
AC-5C8369,,,A339,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 58 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 18 snapshot(s), 287 s between sightings",,,A5,FL180 and above,sil alternated between 2 and 3 (4 changes),102,91.225(d)(1),2025,Type certificated
AC-2B6941,,,GLF4,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,82,91.225(d)(4),2003,Type certificated
AC-85AB06,,,G280,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s)",,,A2,FL180 and above,,160,91.225(d)(4),2016,Type certificated
AC-F29FD7,,,BE33,adsb_icao,2,pass,10,2,9,2,3,,,,,,A2,"Below 10,000 ft",,47,91.225(d)(2),1975,Type certificated
AC-ADE715,,,C25B,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 55 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 122 snapshot(s), 1846 s between sightings",,,A1,"10,000 ft to FL180",,118,91.225(d)(4),2006,Type certificated
AC-0B4496,,,C172,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: absent from 1 snapshot(s), 30 s between sightings",last position 59 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",nac_p alternated between 0 and 10 (2 changes); nic alternated between 6 and 9 (2 changes); sil alternated between 0 and 3 (2 changes),195,91.225(d)(2),2005,Type certificated
AC-379E4F,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,last position 52 s old when last seen; not reacquired in the window,,A3,"Below 10,000 ft",,100,91.225(d)(1),2015,Type certificated
AC-FD939D,,,P28A,adsb_icao,2,pass,10,2,9,2,3,,,,,,A1,"Below 10,000 ft",,46,91.225(d)(2),1974,Type certificated
AC-DD093E,,,E55P,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,sil alternated between 2 and 3 (1 change),91,91.225(d)(2),,Type certificated
AC-819C26,,,CRJ2,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,27,91.225(d)(4),2002,Type certificated
AC-E80091,,,E55P,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,,21,91.225(d)(4),,Type certificated
AC-9AA60A,,,LJ60,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,,64,91.225(d)(4),2000,Type certificated
AC-FCA497,,,CL35,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: absent from 16 snapshot(s), 255 s between sightings",,,A2,FL180 and above,,17,91.225(d)(2),2024,Type certificated
AC-02ED52,,,C56X,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,,110,91.225(d)(3),2001,Type certificated
AC-0E28CD,,,E55P,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,"Below 10,000 ft",,7,91.225(d)(1),2022,Type certificated
AC-A1E34E,,,B737,adsb_icao,2,pass,10,2,8,2,3,,,,last position 57 s old when last seen; not reacquired in the window,,A3,FL180 and above,,127,91.225(d)(4),2004,Type certificated
AC-C848E0,,,A21N,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: absent from 1 snapshot(s), 31 s between sightings; dropout: absent from 2 snapshot(s), 45 s between sightings",last position 58 s old when last seen; not reacquired in the window,,A3,Surface,,237,91.225(d)(1),2022,Type certificated
AC-8CE9C9,,,GLF4,adsb_icao,2,pass,10,2,8,2,3,,,,last position 57 s old when last seen; not reacquired in the window,,A2,"Below 10,000 ft",,120,91.225(d)(2),2008,Type certificated
AC-CB8DAE,,,EC35,adsb_icao,2,pass,10,2,9,2,3,,,,last position 49 s old when last seen; not reacquired in the window,,A7,"Below 10,000 ft",,67,91.225(d)(2),2009,Type certificated
AC-F235DF,,,,adsb_icao,2,fail,0,2,0,2,3,91.227(c)(1)(i); 91.227(c)(1)(iii),,"dropout: absent from 2 snapshot(s), 45 s between sightings",last position 60 s old when last seen; not reacquired in the window,,A1,Surface,nac_p alternated between 0 and 8 (2 changes); nac_v alternated between 0 and 2 (5 changes); sil alternated between 0 and 3 (5 changes),19,no,2025,Type certificated
AC-20BFA8,,,GLF4,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,,3,91.225(d)(4),2008,Type certificated
AC-DC31DA,,,C172,adsb_icao,2,pass,10,2,9,2,3,,,,,,A1,Surface,nic alternated between 0 and 9 (1 change),12,91.225(d)(2),1979,Type certificated
AC-387253,,,P28A,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 55 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 22 snapshot(s), 345 s between sightings",,,A1,"Below 10,000 ft",sil alternated between 2 and 3 (2 changes),41,no,2022,Type certificated
AC-2C7A82,,,P28A,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 2 snapshot(s), 45 s between sightings; dropout: absent from 7 snapshot(s), 121 s between sightings; dropout: absent from 14 snapshot(s), 225 s between sightings; dropout: absent from 12 snapshot(s), 195 s between sightings; dropout: absent from 5 snapshot(s), 90 s between sightings",,,A1,"Below 10,000 ft",sil alternated between 2 and 3 (4 changes),191,91.225(d)(1),2022,Type certificated
AC-0F31CD,,,E55P,adsb_icao,2,pass,10,2,9,3,3,,,,,,A1,FL180 and above,,14,91.225(d)(4),2023,Type certificated
AC-0865F2,,,A21N,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,"10,000 ft to FL180",,50,91.225(d)(1),2023,Type certificated
AC-3614B8,,,B739,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,79,91.225(d)(3),2014,Type certificated
AC-4E2C62,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 58 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 14 snapshot(s), 225 s between sightings; dropout: absent from 7 snapshot(s), 119 s between sightings; dropout: absent from 11 snapshot(s), 180 s between sightings",,,A3,FL180 and above,,91,91.225(d)(1),2022,Type certificated
AC-59CF36,,,E55P,adsb_icao,2,pass,10,2,9,3,3,,,,,,A1,"10,000 ft to FL180",,9,91.225(d)(3),2024,Type certificated
AC-01FFA5,,,B39M,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 47 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 2 snapshot(s), 46 s between sightings",,,A3,FL180 and above,sil alternated between 2 and 3 (2 changes),179,91.225(d)(4),2019,Not type certificated (experimental)
AC-0551CD,,,B39M,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: absent from 6 snapshot(s), 105 s between sightings; dropout: absent from 1 snapshot(s), 30 s between sightings",last position 59 s old when last seen; not reacquired in the window,,A1,"10,000 ft to FL180",nac_v alternated between 0 and 2 (1 change); sil alternated between 2 and 3 (2 changes),148,91.225(d)(4),2023,Type certificated
AC-D65B6A,,,C182,adsb_icao,2,pass,10,2,9,2,3,,,,last position 56 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",,144,91.225(d)(2),2021,Type certificated
AC-9FE7C7,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,last position 54 s old when last seen; not reacquired in the window,,A3,FL180 and above,,194,91.225(d)(4),2019,Type certificated
AC-EBB7E6,,,CL35,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,"Below 10,000 ft",,4,no,2019,Type certificated
AC-E2E3E9,,,EC45,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 50 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 1 snapshot(s), 30 s between sightings; dropout: absent from 215 snapshot(s), 3241 s between sightings",,,A7,"Below 10,000 ft",,24,no,2012,Type certificated
AC-AADF63,,,GLF4,adsb_icao,2,pass,10,2,8,2,3,,,,last position 58 s old when last seen; not reacquired in the window,,A2,"Below 10,000 ft",,70,91.225(d)(2),2013,Type certificated
AC-2EB236,,,E55P,adsb_icao,2,pass,10,2,9,3,3,,,,,,A1,FL180 and above,,28,91.225(d)(4),2024,Type certificated
AC-3F5BFD,,,E55P,adsb_icao,2,pass,10,2,9,3,3,,,"dropout: position went at least 56 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 8 snapshot(s), 135 s between sightings; dropout: absent from 4 snapshot(s), 75 s between sightings",,,A1,"Below 10,000 ft",sil alternated between 2 and 3 (2 changes),180,91.225(d)(2),2024,Type certificated
AC-E87FE2,,,B06,adsb_icao,2,pass,10,2,9,2,3,,,,last position 56 s old when last seen; not reacquired in the window,,A7,"Below 10,000 ft",,68,91.225(d)(1),1987,Type certificated
AC-792307,,,C402,adsb_icao,2,pass,10,2,9,2,3,,,,,,A1,"Below 10,000 ft",sil alternated between 2 and 3 (1 change),51,91.225(d)(1),,Type certificated
AC-84FC29,,,P28A,adsb_icao,2,pass,9,1,9,2,3,,,,last position 51 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",,176,91.225(d)(2),1976,Type certificated
AC-10B0F2,,,,adsb_icao,2,pass,10,2,9,3,3,,,,last position 48 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",sil alternated between 2 and 3 (1 change),55,91.225(d)(2),2026,Type certificated
AC-9FD6F1,,,BE35,adsb_icao,2,pass,10,2,10,2,3,,,,,,A1,"Below 10,000 ft",,146,no,1972,Type certificated
AC-35241A,,,H500,adsb_icao,2,pass,10,2,10,2,3,,,"dropout: position went at least 49 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 5 snapshot(s), 90 s between sightings; dropout: absent from 88 snapshot(s), 1336 s between sightings",,,A7,"Below 10,000 ft",,90,91.225(d)(1),1978,Type certificated
AC-E99093,,,SR22,adsb_icao,2,pass,10,2,9,2,3,,,,last position 46 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",,167,no,2006,Type certificated
AC-C85F08,,,A319,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,FL180 and above,,59,91.225(d)(1),2013,Type certificated
AC-BC1A64,,,C68A,adsb_icao,2,pass,10,2,9,2,3,,,,last position 50 s old when last seen; not reacquired in the window,,A2,"Below 10,000 ft",,31,91.225(d)(2),2016,Type certificated
AC-3AD13F,,,C68A,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 56 s without a refresh, then reacquired (threshold 20 s)",,,A2,"Below 10,000 ft",,240,91.225(d)(2),2016,Type certificated
AC-5CD576,,,GL5T,adsb_icao,2,pass,11,1,8,2,3,,,,last position 52 s old when last seen; not reacquired in the window,,A3,FL180 and above,,146,91.225(d)(4),2013,Type certificated
AC-62B345,,,A21N,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,67,91.225(d)(4),2022,Type certificated
AC-3769D7,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,12,91.225(d)(4),2002,Type certificated
AC-FF9F07,,,G280,adsb_icao,2,pass,10,1,8,2,3,,,,last position 58 s old when last seen; not reacquired in the window,,A2,"10,000 ft to FL180",,81,91.225(d)(4),2024,Type certificated
AC-C0E2EB,,,A321,adsb_icao,2,pass,9,1,8,2,3,,,,last position 49 s old when last seen; not reacquired in the window,,A3,"Below 10,000 ft",,16,91.225(d)(1),2008,Type certificated
AC-12EF03,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,"10,000 ft to FL180",,152,91.225(d)(4),2002,Type certificated
AC-19AF96,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,77,91.225(d)(1),2003,Type certificated
AC-7177CF,,,FA50,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,"Below 10,000 ft",,68,91.225(d)(2),1986,Type certificated
AC-8BD5F9,,,B738,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 58 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 16 snapshot(s), 256 s between sightings; dropout: absent from 7 snapshot(s), 121 s between sightings",,,A3,"Below 10,000 ft",sil alternated between 2 and 3 (3 changes),20,91.225(d)(1),2004,Type certificated
AC-5D4E53,,,H25B,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,"Below 10,000 ft",,21,91.225(d)(2),,Type certificated
AC-6DB306,,,DA40,adsb_icao,2,pass,10,2,9,2,3,,,,,,A1,"Below 10,000 ft",,65,91.225(d)(2),2021,Type certificated
AC-E9BE20,,,C172,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 58 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 3 snapshot(s), 60 s between sightings",,,A1,"Below 10,000 ft",,141,no,2002,Type certificated
AC-1F7315,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,100,91.225(d)(4),2001,Type certificated
AC-95749D,,,P28A,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 198 snapshot(s), 2986 s between sightings",,,A1,"Below 10,000 ft",sil alternated between 2 and 3 (2 changes),42,91.225(d)(2),2021,Type certificated
AC-483812,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 54 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 1 snapshot(s), 30 s between sightings; dropout: absent from 3 snapshot(s), 60 s between sightings",,,A2,FL180 and above,sil alternated between 2 and 3 (3 changes),134,91.225(d)(1),2002,Type certificated
AC-2CF575,,,A320,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,FL180 and above,,107,91.225(d)(4),2001,Type certificated
AC-2405C8,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,5,91.225(d)(4),2003,Type certificated
AC-240853,,,C337,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 40 s without a refresh, then reacquired (threshold 20 s)",,,A1,"Below 10,000 ft",,15,no,1975,Type certificated
AC-5F6732,,,CRJ7,adsb_icao,0,not evaluable,,,,,,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 10 snapshot(s), 165 s between sightings",,,A2,"Below 10,000 ft",,10,91.225(d)(1),2004,Type certificated
AC-108741,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 56 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 12 snapshot(s), 195 s between sightings; dropout: absent from 1 snapshot(s), 29 s between sightings",,,A2,"10,000 ft to FL180",sil alternated between 2 and 3 (1 change),40,91.225(d)(1),2003,Type certificated
AC-0C326B,,,GLF5,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,7,91.225(d)(4),2013,Type certificated
AC-9F9D20,,,A320,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,FL180 and above,,91,91.225(d)(4),2001,Type certificated
AC-E4D49F,,,C182,adsr_icao,,fail,0,,0,,2,91.227(c)(1)(i); 91.227(c)(1)(v),,,last position 58 s old when last seen; not reacquired in the window,,A1,Surface,,28,no,2001,Type certificated
AC-DE2EA2,,,T28,adsr_icao,,pass,9,0,8,2,3,,,"dropout: absent from 4 snapshot(s), 75 s between sightings",last position 48 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",,22,no,1957,Not type certificated (experimental)
AC-41EB24,,,A21N,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,138,91.225(d)(4),2023,Type certificated
AC-B90592,,,,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: absent from 7 snapshot(s), 120 s between sightings",last position 57 s old when last seen; not reacquired in the window,,A2,FL180 and above,sil alternated between 2 and 3 (2 changes),167,91.225(d)(4),,Type certificated
AC-73DFC6,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,"10,000 ft to FL180",,40,91.225(d)(4),2010,Type certificated
AC-5AD882,,,GA5C,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 24 s without a refresh, then reacquired (threshold 20 s)",,,A3,FL180 and above,nac_p alternated between 0 and 10 (2 changes); sil alternated between 2 and 3 (2 changes),129,91.225(d)(1),2023,Type certificated
AC-646CDA,,,C172,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 55 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 4 snapshot(s), 75 s between sightings",,,A1,"Below 10,000 ft",sil alternated between 2 and 3 (2 changes),78,no,2003,Type certificated
AC-7D8EDD,,,B739,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: absent from 9 snapshot(s), 150 s between sightings",,,A3,FL180 and above,,43,91.225(d)(4),,Type certificated
AC-F5998D,,,C25A,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: absent from 1 snapshot(s), 30 s between sightings; dropout: absent from 10 snapshot(s), 166 s between sightings; dropout: absent from 1 snapshot(s), 30 s between sightings",last position 54 s old when last seen; not reacquired in the window,,A1,"10,000 ft to FL180",sil alternated between 2 and 3 (3 changes),149,91.225(d)(2),,Type certificated
AC-1B0DF8,,,A321,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,FL180 and above,,24,91.225(d)(4),2009,Type certificated
AC-68049D,,,CL35,adsb_icao,2,pass,10,1,8,2,3,,,,last position 54 s old when last seen; not reacquired in the window,,A2,"10,000 ft to FL180",,124,91.225(d)(4),2024,Type certificated
AC-9A9AA4,,,A321,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,FL180 and above,,155,91.225(d)(4),2009,Type certificated
AC-AA3091,,,F2TH,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: absent from 1 snapshot(s), 30 s between sightings",last position 59 s old when last seen; not reacquired in the window,,A2,"10,000 ft to FL180",sil alternated between 2 and 3 (2 changes),142,91.225(d)(4),2002,Type certificated
AC-DFD0AD,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,115,91.225(d)(4),2010,Type certificated
AC-697CC1,,,A321,adsb_icao,2,pass,9,1,8,2,3,,,,last position 53 s old when last seen; not reacquired in the window,,A3,"10,000 ft to FL180",,87,91.225(d)(4),2009,Type certificated
AC-CFBD7E,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,103,91.225(d)(4),2011,Type certificated
AC-CE4E24,,,CL30,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,87,91.225(d)(4),2008,Type certificated
AC-D1AFC2,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 54 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 3 snapshot(s), 60 s between sightings; dropout: absent from 11 snapshot(s), 180 s between sightings",,,A2,FL180 and above,sil alternated between 2 and 3 (4 changes),120,91.225(d)(1),2005,Type certificated
AC-6AD321,,,C68A,adsb_icao,2,pass,10,2,9,2,3,,,,,,A2,FL180 and above,,120,91.225(d)(4),2017,Type certificated
AC-2B55BB,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,"10,000 ft to FL180",,66,91.225(d)(4),2006,Type certificated
AC-914030,,,MD11,adsb_icao,2,pass,10,1,8,2,3,,,,,,A5,FL180 and above,,64,91.225(d)(4),1995,Type certificated
AC-F513E9,,,A21N,adsb_icao,2,pass,10,2,8,2,3,,,,last position 53 s old when last seen; not reacquired in the window,,A3,"10,000 ft to FL180",,124,91.225(d)(4),2025,Type certificated
AC-209ED1,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 53 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 2 snapshot(s), 45 s between sightings",,,A2,"Below 10,000 ft",,115,91.225(d)(2),2008,Type certificated
AC-658326,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 53 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 2 snapshot(s), 45 s between sightings; dropout: absent from 10 snapshot(s), 165 s between sightings",,,A2,"Below 10,000 ft",sil alternated between 2 and 3 (4 changes),140,91.225(d)(2),2009,Type certificated
AC-46C4DA,,,K100,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 52 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 30 snapshot(s), 466 s between sightings",,,A1,"Below 10,000 ft",nic alternated between 0 and 9 (3 changes),116,91.225(d)(2),2022,Type certificated
AC-69E061,,,PC24,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,,24,91.225(d)(4),2025,Type certificated
AC-8BA49F,,,CRJ7,adsb_icao,0,not evaluable,,,,,,,,,last position 46 s old when last seen; not reacquired in the window,,A2,Surface,,6,91.225(d)(1),2002,Type certificated
AC-984AAC,,,C560,adsb_icao,2,pass,9,2,8,2,3,,,,,,A1,FL180 and above,,40,91.225(d)(4),1992,Type certificated
AC-3E6BBD,,,C56X,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 8 snapshot(s), 135 s between sightings; dropout: absent from 1 snapshot(s), 30 s between sightings",,,A2,FL180 and above,sil alternated between 2 and 3 (2 changes),231,91.225(d)(2),2000,Type certificated
AC-B1AC72,,,C750,adsb_icao,2,pass,10,2,8,2,3,,,,last position 59 s old when last seen; not reacquired in the window,,A2,"Below 10,000 ft",,31,91.225(d)(2),1999,Type certificated
AC-7CCAB6,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,39,91.225(d)(4),2014,Type certificated
AC-773D5F,,,C68A,adsb_icao,2,pass,10,2,9,2,3,,,,,,A2,FL180 and above,,116,91.225(d)(4),2017,Type certificated
AC-9A9650,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,110,91.225(d)(4),2003,Type certificated
AC-513DC2,,,A320,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,96,91.225(d)(4),2003,Type certificated
AC-A48A51,,,P28A,adsb_icao,2,pass,10,2,9,2,3,,,,,,A1,"Below 10,000 ft",,240,91.225(d)(2),1973,Type certificated
AC-9C069E,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,last position 49 s old when last seen; not reacquired in the window,,A3,FL180 and above,,119,91.225(d)(4),2015,Type certificated
AC-E63EA3,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: absent from 2 snapshot(s), 45 s between sightings",last position 56 s old when last seen; not reacquired in the window,,A3,"Below 10,000 ft",,34,91.225(d)(1),2022,Type certificated
AC-ADDFE9,,,CL35,adsb_icao,2,pass,11,1,8,2,3,,,,,,A2,FL180 and above,,67,91.225(d)(4),2015,Type certificated
AC-03E3F8,,,GALX,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,150,91.225(d)(4),2005,Type certificated
AC-37B671,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,31,91.225(d)(4),2015,Type certificated
AC-EE4B59,,,B39M,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,30,91.225(d)(4),2026,Type certificated
AC-F5B2B5,,,M20P,adsb_icao,2,pass,9,2,8,2,3,,,,last position 48 s old when last seen; not reacquired in the window,,A1,Surface,nic alternated between 6 and 8 (1 change),8,no,1984,Type certificated
AC-22A798,,,,adsb_icao,2,pass,10,1,8,2,3,,,,last position 56 s old when last seen; not reacquired in the window,,A3,Surface,,233,91.225(d)(2),,
AC-4A862C,,,B738,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 47 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 9 snapshot(s), 150 s between sightings",,,A3,FL180 and above,,104,91.225(d)(1),2007,Type certificated
AC-9FC488,,,A21N,adsb_icao,2,pass,10,1,8,3,3,,,,,,A3,FL180 and above,,142,91.225(d)(4),2024,Type certificated
AC-1AE160,,,CRJ9,adsb_icao,2,pass,11,1,8,2,3,,,,,,A3,FL180 and above,,60,91.225(d)(1),2015,Type certificated
AC-D2435C,,,BE95,adsb_icao,2,pass,10,1,8,2,3,,,,,,A1,"Below 10,000 ft",nac_p alternated between 0 and 10 (1 change); nac_v alternated between 0 and 1 (1 change); nic alternated between 0 and 8 (1 change); sil alternated between 0 and 3 (1 change),166,91.225(d)(2),1964,Type certificated
AC-7887F5,,,A321,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,FL180 and above,,61,91.225(d)(1),2014,Type certificated
AC-0AD17A,,,A320,adsb_icao,2,pass,10,2,8,2,3,,,,last position 58 s old when last seen; not reacquired in the window,,,Surface,,6,91.225(d)(1),2004,Type certificated
AC-E842A4,,,,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: position went at least 60 s without a refresh, then reacquired (threshold 20 s)",,,A2,Surface,nac_p alternated between 0 and 9 (1 change); nic alternated between 0 and 8 (1 change); sil alternated between 2 and 3 (1 change),28,91.225(d)(1),,Type certificated
AC-6C7264,,,PA46,adsb_icao,2,pass,10,2,9,2,3,,,,last position 51 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",,2,91.225(d)(2),1998,Type certificated
AC-B39CEB,,,GLF4,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 57 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 165 snapshot(s), 2490 s between sightings",,,A2,"Below 10,000 ft",nac_p alternated between 0 and 10 (1 change); nac_v alternated between 0 and 2 (1 change); nic alternated between 0 and 8 (1 change); sil alternated between 0 and 3 (1 change),22,91.225(d)(2),2008,Type certificated
AC-F0583E,,,C210,adsb_icao,2,pass,10,2,10,2,3,,,,last position 54 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",,80,91.225(d)(2),1973,Type certificated
AC-FD19E5,,,CL35,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 36 s without a refresh, then reacquired (threshold 20 s)",,,A2,"10,000 ft to FL180",,73,91.225(d)(2),2019,Type certificated
AC-B86FB5,,,A320,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: position went at least 60 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 44 snapshot(s), 675 s between sightings; dropout: absent from 27 snapshot(s), 419 s between sightings; dropout: absent from 2 snapshot(s), 46 s between sightings",,,A3,Surface,nac_p alternated between 0 and 9 (6 changes); nac_v alternated between 0 and 1 (6 changes); nic alternated between 0 and 8 (6 changes); sil alternated between 2 and 3 (2 changes),157,91.225(d)(1),2004,Type certificated
AC-77B3D1,,,CRJ9,adsb_icao,2,pass,11,1,8,2,3,,,,,,A3,FL180 and above,,78,91.225(d)(1),2016,Type certificated
AC-873896,,,LJ60,adsb_icao,2,pass,10,1,8,2,3,,,,last position 53 s old when last seen; not reacquired in the window,,A2,FL180 and above,,219,91.225(d)(4),2010,Type certificated
AC-6B0D58,,,,adsb_icao,2,pass,10,2,9,2,3,,,,,,A1,FL180 and above,,37,91.225(d)(4),,
AC-D8C051,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: absent from 1 snapshot(s), 31 s between sightings",last position 57 s old when last seen; not reacquired in the window,,A3,"10,000 ft to FL180",sil alternated between 2 and 3 (1 change),68,91.225(d)(4),2019,Type certificated
AC-EF45A2,,,CL60,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,Surface,,7,91.225(d)(2),2000,Type certificated
AC-42E3F2,,,A21N,adsb_icao,2,pass,10,2,8,3,3,,,,,,A3,"Below 10,000 ft",,17,91.225(d)(1),2022,Type certificated
